,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
Volume,-0.5107395905868236,0.5654298229674211,-0.3478851688481094,0.1917530742288555,-0.2961232335186391,0.056041088974449274,-0.01351978557195051,-0.05696892087336436,0.17765582327407264,-0.26897606151462117,-0.13781146908688002,-0.04662951648373314,0.046369118299033334,0.052146456457914145,0.1873055500061149,0.028831935677089596,-0.02652434013219849,0.023851238175196764,0.006323563150197083,0.008278348405413201,0.011919469307716925
Cinema,0.4643412553834105,0.37180386814900623,0.6068361418149807,-0.28682900454369853,-0.1303443114916199,0.05606291349099022,-0.12389531491832155,-0.2807503925127366,0.17585312009567172,0.04418198954655074,0.039893040175768175,0.06866733467076429,0.11011282434681169,-0.10742261512495077,0.019774243614478302,0.038162260496371184,0.10756587367775493,0.058532991033779465,-0.04036495587321237,0.001315004864956816,0.0014614104374198584
PIB,0.9518838702438436,-0.10711791383971866,-0.005574625034197666,0.18552005164968235,-0.052116791247206466,-0.0023486110810038833,-0.04625263298295971,-0.07136566162093551,0.0757594535776303,0.03686489402784626,0.11730710459775398,0.014138586915869101,-0.01947102042944903,0.015758193242750025,0.024056013121707694,0.030648089423181098,-0.013248484911877585,0.018476490050336292,0.0707481228601437,0.09006603609260265,-0.03465751869633962
Cerc,0.775260990573185,-0.42400277894440574,0.0568004172349233,-0.10129116439323818,0.03785132191885173,-0.08100359179220294,0.16166386146468203,-0.17455349397607642,0.04803481275056538,0.12833333247208778,-0.21674796000307817,-0.06457328253385305,-0.047822913942510516,0.22034215566881185,0.06496923053035249,0.09450893581753708,0.07000443530985372,0.024575571278221277,0.02833623139145805,-0.029234132657990863,-0.005334283947321976
ProdVeg,-0.6778075581648357,0.2950637263661372,0.20698837021277733,0.270974564550104,-0.015813105085320404,-0.34548709237831743,0.07875535803763246,-0.18985601846520567,0.17653079851808132,0.2706069202061363,0.03662698695554063,-0.2224276522293833,0.08289288109978225,-0.004745270192548253,-0.004640235010669526,-0.0770589665766531,-0.08100635744169327,-0.0059937111493328634,0.021130135068854732,-0.01317268741215897,-0.010279444775623295
ProdAn,-0.6685277976249188,0.06424115704511149,-0.14763242556872275,0.39210150318281795,-0.2138505000345422,0.0768499919741057,0.2927736263070868,-0.31074084383456885,-0.10881974464718529,0.048914077798136876,0.28017099037861026,0.11807596443163283,-0.15939627305704582,0.027102619539578997,-0.0006604260254159878,0.0717405014418812,0.007003420931556079,0.03118026052877845,-0.014154497457018614,-0.016988744618232545,0.00440287812347598
Telefonie,0.832932683209024,0.37341740536173723,-0.13599574371975973,-0.026621396000520745,0.16205674119190805,-0.22187287725092428,0.027277108283228053,0.020118417348196124,-0.11280876487231842,-0.14028760026715442,0.035385566262597236,-0.021413800724558143,0.017356664513015922,-0.08925268026907582,-0.08306142702908026,0.04121818672424193,-0.018898950327935204,0.09689818519502448,0.09263655539525521,-0.0369680069644464,0.01622183568120861
Internet,0.466710876426161,0.5625426317320463,-0.2602412359325627,0.33900035294331504,0.011057789724104093,-0.33398317311261466,-0.19285869814250617,0.17956996336474332,-0.22331966331816827,0.11831829373680894,0.06485996021181853,0.034197924923043986,0.0969310449832832,0.05507320108719006,0.03938936077695257,0.07399851128813896,0.09720303184248658,-0.049785324258748626,-0.027951723005647276,-0.007708692890352411,-0.0224098436019953
Cazare,0.3953256774523755,0.438647178702767,0.5234357054927451,0.025436928845243626,-0.3203719233187492,0.3984687270648812,-0.23677348603528178,0.13359065865431505,-0.04973493747519831,0.06880353266958754,0.007434230426787081,-0.006739131677128855,-0.05889096047875609,0.09916777201483036,-0.0468588245670519,0.07668187321635303,-0.09741676075924978,-0.039001877983330026,0.0327124933497235,-0.024053249658447778,-0.0020928004244619093
ExecB,0.8558875148947558,-0.18124093470170086,0.013976332848050717,0.2584762967347355,-0.00011430901398391877,-0.16690391451140096,-0.03565921199946522,0.03911533406654794,0.1664048623709177,-0.08752517963318841,0.04678019228456978,0.19018235383355486,0.11793392791579538,0.1548561193536435,-0.05944718207603126,-0.05521574276958767,-0.10567803474220917,0.059908971824449125,-0.06113485468526397,-0.013144060641772953,-0.009835659895203887
