,NrSal,RS,SalN,SupL,Apa,Gaz,Pensia,Paturi,RataAb,AbsUniv,Volume,Cinema,PIB,Cerc,ProdVeg,ProdAn,Telefonie,Internet,Cazare,ExecB,RataC
Volume,-0.4067254544780083,0.3503117732329903,-0.6813542237147987,-0.20640399450630503,-0.14784088994999578,-0.18218883025206553,-0.33942924610697744,-0.03807338027430249,-0.010725237243410768,-0.4018917069883596,1.0,-0.22034715475749414,-0.49562863109028277,-0.6532070289275861,0.45435736128892606,0.5054319121706766,-0.23512033632538606,0.13620790500743526,-0.048852909047335726,-0.4637528388295454,0.22905155367523033
Cinema,0.39605686924712347,-0.3429731551787975,0.3411964552663457,-0.10599206984334696,0.5100098543603351,0.02059422257739463,0.3127643542630523,0.3019714975667686,0.20719790455384213,0.46347731467684894,-0.22034715475749414,1.0,0.3932833943765997,0.2701337125500948,-0.10506435344072801,-0.41773951863230274,0.393331308116514,0.11190321786889765,0.6778010162814362,0.2764397447852122,-0.017714374242827548
PIB,0.9565612868622695,-0.5300873388501954,0.7863237317092984,0.5986462485594617,0.7013836592965371,0.5841604921442028,0.6988015071837984,0.6289618825450279,-0.09249857855157685,0.7545798938821644,-0.49562863109028277,0.3932833943765997,1.0,0.7574428778846748,-0.5941745807830503,-0.5184698410349992,0.7304063599837577,0.43827989308170945,0.3525649302315283,0.8931672690860344,-0.24595507267105632
Cerc,0.6881498099725367,-0.37632167840658964,0.7684596155870338,0.35963881556495036,0.5033980036323745,0.4398574498621363,0.5168618956307779,0.4814556953697172,-0.11719295125591069,0.6927098698882503,-0.653207028927586,0.2701337125500948,0.7574428778846747,1.0,-0.5607586813310884,-0.5520121820315088,0.46035768837225644,0.04950964590413478,0.06964515244921493,0.7024384674419539,-0.29710621060127984
ProdVeg,-0.5380724536564335,0.20593807918026275,-0.6319878721973811,-0.23887067655970684,-0.46760632971557214,-0.5102452478450851,-0.6553448360065073,-0.45351236511652787,0.285270912636588,-0.502821008762656,0.454357361288926,-0.10506435344072801,-0.5941745807830503,-0.5607586813310884,0.9999999999999999,0.5649477754803384,-0.4668478529324256,-0.06501158774453568,-0.19017675650373622,-0.5273828832239866,0.12284917845990227
ProdAn,-0.5392374913090257,0.2397910413048764,-0.56998154281826,-0.1670760186865497,-0.4475960174064102,-0.1516893658977496,-0.5945454999557811,-0.34982442754127957,0.06520588303707688,-0.6040589598083631,0.5054319121706766,-0.41773951863230274,-0.518469841034999,-0.5520121820315089,0.5649477754803384,1.0,-0.5602804051527797,-0.20164311370139767,-0.2893986870554807,-0.5231159648165756,-0.004706450733757436
Telefonie,0.7855646282071914,-0.4389747081584066,0.49437577279528555,0.20407985596048542,0.7807933774231103,0.4116376347455925,0.7061991205735055,0.6813775589599584,0.0530645601454981,0.8709697417808201,-0.23512033632538606,0.393331308116514,0.7304063599837577,0.4603576883722564,-0.4668478529324256,-0.5602804051527797,1.0,0.696787716691391,0.272610103199774,0.6577060160839227,0.07952268949296927
Internet,0.5679031176328456,-0.29239069749951246,0.04391999353856325,0.22660071388292957,0.39657900609071467,0.20810724295215804,0.4359770195703695,0.49398295899472844,0.06666664826134902,0.45950503071915805,0.13620790500743526,0.11190321786889766,0.43827989308170945,0.049509645904134786,-0.06501158774453568,-0.20164311370139767,0.696787716691391,1.0,0.2515637651852585,0.415454418785735,0.0475028328936656
Cazare,0.38115751957379695,-0.3254075608776152,0.10409960066419456,0.10520375777104819,0.4339149624752689,0.17162131991817778,0.3797130945918548,0.19839418546891374,0.2654244440628671,0.2775943631884446,-0.048852909047335726,0.6778010162814362,0.35256493023152835,0.06964515244921493,-0.19017675650373625,-0.2893986870554808,0.2726101031997741,0.2515637651852585,1.0,0.21796939570525542,-0.16068651390241293
ExecB,0.8692711105470691,-0.4737690199188128,0.7420766641732469,0.6057425036946583,0.5966938257803028,0.4556677036783732,0.510232869874255,0.5241042254910202,-0.009769045871004106,0.6374218679634621,-0.4637528388295454,0.2764397447852122,0.8931672690860343,0.7024384674419539,-0.5273828832239866,-0.5231159648165756,0.6577060160839227,0.415454418785735,0.21796939570525542,1.0,-0.2651376821919502
RataC,-0.12760153643433622,0.040788559225652346,-0.37358560952397823,-0.263284342583786,-0.1048600999754721,-0.009913896613867738,0.050309584625829115,-0.03648583408175785,0.05061070793645943,-0.09532299663831374,0.2290515536752303,-0.01771437424282755,-0.24595507267105632,-0.29710621060127984,0.12284917845990227,-0.004706450733757437,0.07952268949296927,0.04750283289366561,-0.16068651390241293,-0.2651376821919502,1.0
